;Instruction	Operands	Latency	Throughput	Remark
COMISS COMISD UCOMISS UCOMISD	x,x		1	
COMISS COMISD UCOMISS UCOMISD	x,m32/64		1	
MAXSS MAXSD MAXPS MAXPD MINSS MINSD MINPS MINPD	x,x / v,v,v	4	0.5	
MAXSS MAXSD MAXPS MAXPD MINSS MINSD MINPS MINPD	x,m / v,v,m		0.5	
ROUNDSS ROUNDSD ROUNDPS ROUNDPD	v,v,i	8	1	
ROUNDSS ROUNDSD ROUNDPS ROUNDPD	v,m,i		1	
DPPS	x,x,i / v,v,v,i	13	1.5	
DPPS	x,m,i / v,v,m,i		1.5	
DPPD	x,x,i	9	1	
DPPD	x,m128,i		1	
VFMADD132SS VFMADD132SD VFMADD132PS VFMADD132PD VFMADD213SS VFMADD213SD VFMADD213PS VFMADD213PD VFMADD231SS VFMADD231SD VFMADD231PS VFMADD231PD VFMADDSUB132PS VFMADDSUB132PD VFMADDSUB213PS VFMADDSUB213PD VFMADDSUB231PS VFMADDSUB231PD	v,v,v	4	0.5	
VFMADD132SS VFMADD132SD VFMADD132PS VFMADD132PD VFMADD213SS VFMADD213SD VFMADD213PS VFMADD213PD VFMADD231SS VFMADD231SD VFMADD231PS VFMADD231PD VFMADDSUB132PS VFMADDSUB132PD VFMADDSUB213PS VFMADDSUB213PD VFMADDSUB231PS VFMADDSUB231PD	v,v,m		0.5	
				
;Math				
SQRTSS SQRTPS	x,x	12	3	
SQRTSS SQRTPS	x,m128		3	
VSQRTPS	y,y	12	6	
VSQRTPS	y,m256		6	
SQRTSD	x,x	15-16	4-6	
SQRTPD	x,x	15-16	4-6	
SQRTSD SQRTPD	x,m128		4-6	
VSQRTPD	y,y	15-16	9-12	
VSQRTPD	y,m256		9-12	
RSQRTSS RSQRTPS	v,v	4	1	
RSQRTSS RSQRTPS	v,m		1	
				
;Logic				
ANDPS ANDPD ANDNPS ANDNPD ORPS ORPD XORPS XORPD	x,x / v,v,v	1	0.33	
ANDPS ANDPD ANDNPS ANDNPD ORPS ORPD XORPS XORPD	x,m / v,v,m		0.5	
				
VZEROUPPER			1	
VZEROALL			12	32 bit
VZEROALL			12	64 bit
LDMXCSR	m32	5	3	
STMXCSR	m32	5	2	
FXSAVE	m4096	78	78	32 bit mode
FXSAVE	m4096	64	64	64 bit mode
FXRSTOR	m4096	76	76	32 bit mode
FXRSTOR	m4096	77	77	64 bit mode
				
				
XSAVE		107	107	32 bit mode
XSAVE		107	107	64 bit mode
XRSTOR		122	122	32 bit mode
XRSTOR		122	122	64 bit mode
XSAVEOPT	m	74	74	
