AAA	none	8086,NOLONG	AAA 	ASCII Adjust After Addition	AAA.html
PSADBW	mmxreg,mmxrm	KATMAI,MMX	PSADBW mmxreg, mmx/mem	Compute Sum of Absolute Differences	PSADBW.html
PSADBW	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	PSADBW xmm, xmm/m128	Compute Sum of Absolute Differences	PSADBW.html
PSHUFW	mmxreg,mmxrm,imm	KATMAI,MMX	PSHUFW mmxreg, mmx/mem, imm	Shuffle Packed Words	PSHUFW.html
PF2IW	mmxreg,mmxrm	PENT,3DNOW	PF2IW mmxreg, mmx/mem	TODO: PENT,3DNOW	
PFNACC	mmxreg,mmxrm	PENT,3DNOW	PFNACC mmxreg, mmx/mem	TODO: PENT,3DNOW	
PFPNACC	mmxreg,mmxrm	PENT,3DNOW	PFPNACC mmxreg, mmx/mem	TODO: PENT,3DNOW	
PI2FW	mmxreg,mmxrm	PENT,3DNOW	PI2FW mmxreg, mmx/mem	TODO: PENT,3DNOW	
PSWAPD	mmxreg,mmxrm	PENT,3DNOW	PSWAPD mmxreg, mmx/mem	TODO: PENT,3DNOW	
MASKMOVDQU	xmmreg,xmmreg	WILLAMETTE,SSE2	MASKMOVDQU xmm, xmm	Store Selected Bytes of Double Quadword	MASKMOVDQU.html
CLFLUSH	mem	WILLAMETTE,SSE2	CLFLUSH mem	Flush Cache Line	CLFLUSH.html
MOVNTDQ	mem,xmmreg	WILLAMETTE,SSE2,SO	MOVNTDQ mem, xmm	Store Double Quadword Using Non-Temporal Hint	MOVNTDQ.html
MOVNTI	mem,reg32	WILLAMETTE,SD	MOVNTI mem, r32	Store Doubleword Using Non-Temporal Hint	MOVNTI.html
MOVNTI	mem,reg64	X64	MOVNTI mem, r64	Store Doubleword Using Non-Temporal Hint	MOVNTI.html
MOVNTPD	mem,xmmreg	WILLAMETTE,SSE2,SO	MOVNTPD mem, xmm	Store Packed Double-Precision Floating-Point Values Using Non-Temporal Hint	MOVNTPD.html
MOVDQA	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVDQA xmm, xmm	Move Aligned Double Quadword	MOVDQA.html
MOVDQA	mem,xmmreg	WILLAMETTE,SSE2,SO	MOVDQA mem, xmm	Move Aligned Double Quadword	MOVDQA.html
MOVDQA	xmmreg,mem	WILLAMETTE,SSE2,SO	MOVDQA xmm, mem	Move Aligned Double Quadword	MOVDQA.html
MOVDQA	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVDQA xmm, xmm	Move Aligned Double Quadword	MOVDQA.html
MOVDQU	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVDQU xmm, xmm	Move Unaligned Double Quadword	MOVDQU.html
MOVDQU	mem,xmmreg	WILLAMETTE,SSE2,SO	MOVDQU mem, xmm	Move Unaligned Double Quadword	MOVDQU.html
MOVDQU	xmmreg,mem	WILLAMETTE,SSE2,SO	MOVDQU xmm, mem	Move Unaligned Double Quadword	MOVDQU.html
MOVDQU	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVDQU xmm, xmm	Move Unaligned Double Quadword	MOVDQU.html
MOVDQ2Q	mmxreg,xmmreg	WILLAMETTE,SSE2	MOVDQ2Q mmxreg, xmm	Move Quadword from XMM to MMX Technology Register	MOVDQ2Q.html
MOVQ2DQ	xmmreg,mmxreg	WILLAMETTE,SSE2	MOVQ2DQ xmm, mmxreg	Move Quadword from MMX Technology to XMM Register	MOVQ2DQ.html
PADDQ	mmxreg,mmxrm	WILLAMETTE,MMX	PADDQ mmxreg, mmx/mem	Add Packed Quadword Integers	PADDQ.html
PADDQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	PADDQ xmm, xmm/m128	Add Packed Quadword Integers	PADDQ.html
PMULUDQ	mmxreg,mmxrm	WILLAMETTE,SSE2,SO	PMULUDQ mmxreg, mmx/mem	Multiply Packed Unsigned Doubleword Integers	PMULUDQ.html
PMULUDQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	PMULUDQ xmm, xmm/m128	Multiply Packed Unsigned Doubleword Integers	PMULUDQ.html
PSHUFD	xmmreg,xmmreg,imm	WILLAMETTE,SSE2	PSHUFD xmm, xmm, imm	Shuffle Packed Doublewords	PSHUFD.html
PSHUFD	xmmreg,mem,imm	WILLAMETTE,SSE2	PSHUFD xmm, mem, imm	Shuffle Packed Doublewords	PSHUFD.html
PSHUFHW	xmmreg,xmmreg,imm	WILLAMETTE,SSE2	PSHUFHW xmm, xmm, imm	Shuffle Packed High Words	PSHUFHW.html
PSHUFHW	xmmreg,mem,imm	WILLAMETTE,SSE2	PSHUFHW xmm, mem, imm	Shuffle Packed High Words	PSHUFHW.html
PSHUFLW	xmmreg,xmmreg,imm	WILLAMETTE,SSE2	PSHUFLW xmm, xmm, imm	Shuffle Packed Low Words	PSHUFLW.html
PSHUFLW	xmmreg,mem,imm	WILLAMETTE,SSE2	PSHUFLW xmm, mem, imm	Shuffle Packed Low Words	PSHUFLW.html
PSLLDQ	xmmreg,imm	WILLAMETTE,SSE2,AR1	PSLLDQ xmm, imm	Shift Double Quadword Left Logical	PSLLDQ.html
PSRLDQ	xmmreg,imm	WILLAMETTE,SSE2,AR1	PSRLDQ xmm, imm	Shift Double Quadword Right Logical	PSRLDQ.html
PSUBQ	mmxreg,mmxrm	WILLAMETTE,SSE2,SO	PSUBQ mmxreg, mmx/mem	Subtract Packed Quadword Integers	PSUBQ.html
PSUBQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	PSUBQ xmm, xmm/m128	Subtract Packed Quadword Integers	PSUBQ.html
PUNPCKHQDQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	PUNPCKHQDQ xmm, xmm/m128	Unpack High Data	PUNPCKHBW:PUNPCKHWD:PUNPCKHDQ:PUNPCKHQDQ.html
PUNPCKLQDQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	PUNPCKLQDQ xmm, xmm/m128	Unpack Low Data	PUNPCKLBW:PUNPCKLWD:PUNPCKLDQ:PUNPCKLQDQ.html
ADDPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	ADDPD xmm, xmm/m128	Add Packed Double-Precision Floating-Point Values	ADDPD.html
ADDSD	xmmreg,xmmrm	WILLAMETTE,SSE2	ADDSD xmm, xmm/m128	Add Scalar Double-Precision Floating-Point Values	ADDSD.html
ANDNPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	ANDNPD xmm, xmm/m128	Bitwise Logical AND NOT of Packed Double-Precision Floating-Point Values	ANDNPD.html
ANDPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	ANDPD xmm, xmm/m128	Bitwise Logical AND of Packed Double-Precision Floating-Point Values	ANDPD.html
CMPEQPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPEQPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPEQSD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPEQSD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPLEPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPLEPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPLESD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPLESD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPLTPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPLTPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPLTSD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPLTSD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPNEQPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPNEQPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPNEQSD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPNEQSD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPNLEPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPNLEPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPNLESD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPNLESD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPNLTPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPNLTPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPNLTSD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPNLTSD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPORDPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPORDPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPORDSD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPORDSD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPUNORDPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CMPUNORDPD xmm, xmm/m128	TODO: WILLAMETTE,SSE2,SO	
CMPUNORDSD	xmmreg,xmmrm	WILLAMETTE,SSE2	CMPUNORDSD xmm, xmm/m128	TODO: WILLAMETTE,SSE2	
CMPPD	xmmreg,xmmrm128,imm8	WILLAMETTE,SSE2	CMPPD xmm, xmm/m128, imm8	Compare Packed Double-Precision Floating-Point Values	CMPPD.html
COMISD	xmmreg,xmmrm	WILLAMETTE,SSE2	COMISD xmm, xmm/m128	Compare Scalar Ordered Double-Precision Floating-Point Values and Set EFLAGS	COMISD.html
CVTDQ2PD	xmmreg,xmmrm	WILLAMETTE,SSE2	CVTDQ2PD xmm, xmm/m128	Convert Packed Dword Integers to Packed Double-Precision FP Values	CVTDQ2PD.html
CVTDQ2PS	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CVTDQ2PS xmm, xmm/m128	Convert Packed Dword Integers to Packed Single-Precision FP Values	CVTDQ2PS.html
CVTPD2DQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CVTPD2DQ xmm, xmm/m128	Convert Packed Double-Precision FP Values to Packed Dword Integers	CVTPD2DQ.html
CVTPD2PI	mmxreg,xmmrm	WILLAMETTE,SSE2,SO	CVTPD2PI mmxreg, xmm/m128	Convert Packed Double-Precision FP Values to Packed Dword Integers	CVTPD2PI.html
CVTPD2PS	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CVTPD2PS xmm, xmm/m128	Convert Packed Double-Precision FP Values to Packed Single-Precision FP Values	CVTPD2PS.html
CVTPI2PD	xmmreg,mmxrm	WILLAMETTE,SSE2	CVTPI2PD xmm, mmx/mem	Convert Packed Dword Integers to Packed Double-Precision FP Values	CVTPI2PD.html
CVTPS2DQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CVTPS2DQ xmm, xmm/m128	Convert Packed Single-Precision FP Values to Packed Dword Integers	CVTPS2DQ.html
CVTPS2PD	xmmreg,xmmrm	WILLAMETTE,SSE2	CVTPS2PD xmm, xmm/m128	Convert Packed Single-Precision FP Values to Packed Double-Precision FP Values	CVTPS2PD.html
CVTSD2SI	reg32,xmmreg	WILLAMETTE,SSE2,AR1	CVTSD2SI r32, xmm	Convert Scalar Double-Precision FP Value to Integer	CVTSD2SI.html
CVTSD2SI	reg32,mem	WILLAMETTE,SSE2,AR1	CVTSD2SI r32, mem	Convert Scalar Double-Precision FP Value to Integer	CVTSD2SI.html
CVTSD2SI	reg64,xmmreg	X64,SSE2,AR1	CVTSD2SI r64, xmm	Convert Scalar Double-Precision FP Value to Integer	CVTSD2SI.html
CVTSD2SI	reg64,mem	X64,SSE2,AR1	CVTSD2SI r64, mem	Convert Scalar Double-Precision FP Value to Integer	CVTSD2SI.html
CVTSD2SS	xmmreg,xmmrm	WILLAMETTE,SSE2	CVTSD2SS xmm, xmm/m128	Convert Scalar Double-Precision FP Value to Scalar Single-Precision FP Value	CVTSD2SS.html
CVTSI2SD	xmmreg,mem	WILLAMETTE,SSE2,SD,AR1,ND	CVTSI2SD xmm, mem	Convert Dword Integer to Scalar Double-Precision FP Value	CVTSI2SD.html
CVTSI2SD	xmmreg,rm32	WILLAMETTE,SSE2,SD,AR1	CVTSI2SD xmm, r/m32	Convert Dword Integer to Scalar Double-Precision FP Value	CVTSI2SD.html
CVTSI2SD	xmmreg,rm64	X64,SSE2,AR1	CVTSI2SD xmm, r/m64	Convert Dword Integer to Scalar Double-Precision FP Value	CVTSI2SD.html
CVTSS2SD	xmmreg,xmmrm	WILLAMETTE,SSE2,SD	CVTSS2SD xmm, xmm/m128	Convert Scalar Single-Precision FP Value to Scalar Double-Precision FP Value	CVTSS2SD.html
CVTTPD2PI	mmxreg,xmmrm	WILLAMETTE,SSE2,SO	CVTTPD2PI mmxreg, xmm/m128	Convert with Truncation Packed Double-Precision FP Values to Packed Dword Integers	CVTTPD2PI.html
CVTTPD2DQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CVTTPD2DQ xmm, xmm/m128	Convert with Truncation Packed Double-Precision FP Values to Packed Dword Integers	CVTTPD2DQ.html
CVTTPS2DQ	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	CVTTPS2DQ xmm, xmm/m128	Convert with Truncation Packed Single-Precision FP Values to Packed Dword Integers	CVTTPS2DQ.html
CVTTSD2SI	reg32,xmmreg	WILLAMETTE,SSE2,AR1	CVTTSD2SI r32, xmm	Convert with Truncation Scalar Double-Precision FP Value to Signed Integer	CVTTSD2SI.html
CVTTSD2SI	reg32,mem	WILLAMETTE,SSE2,AR1	CVTTSD2SI r32, mem	Convert with Truncation Scalar Double-Precision FP Value to Signed Integer	CVTTSD2SI.html
CVTTSD2SI	reg64,xmmreg	X64,SSE2,AR1	CVTTSD2SI r64, xmm	Convert with Truncation Scalar Double-Precision FP Value to Signed Integer	CVTTSD2SI.html
CVTTSD2SI	reg64,mem	X64,SSE2,AR1	CVTTSD2SI r64, mem	Convert with Truncation Scalar Double-Precision FP Value to Signed Integer	CVTTSD2SI.html
DIVPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	DIVPD xmm, xmm/m128	Divide Packed Double-Precision Floating-Point Values	DIVPD.html
DIVSD	xmmreg,xmmrm	WILLAMETTE,SSE2	DIVSD xmm, xmm/m128	Divide Scalar Double-Precision Floating-Point Values	DIVSD.html
MAXPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	MAXPD xmm, xmm/m128	Return Maximum Packed Double-Precision Floating-Point Values	MAXPD.html
MAXSD	xmmreg,xmmrm	WILLAMETTE,SSE2	MAXSD xmm, xmm/m128	Return Maximum Scalar Double-Precision Floating-Point Value	MAXSD.html
MINPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	MINPD xmm, xmm/m128	Return Minimum Packed Double-Precision Floating-Point Values	MINPD.html
MINSD	xmmreg,xmmrm	WILLAMETTE,SSE2	MINSD xmm, xmm/m128	Return Minimum Scalar Double-Precision Floating-Point Value	MINSD.html
MOVAPD	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVAPD xmm, xmm	Move Aligned Packed Double-Precision Floating-Point Values	MOVAPD.html
MOVAPD	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVAPD xmm, xmm	Move Aligned Packed Double-Precision Floating-Point Values	MOVAPD.html
MOVAPD	mem,xmmreg	WILLAMETTE,SSE2,SO	MOVAPD mem, xmm	Move Aligned Packed Double-Precision Floating-Point Values	MOVAPD.html
MOVAPD	xmmreg,mem	WILLAMETTE,SSE2,SO	MOVAPD xmm, mem	Move Aligned Packed Double-Precision Floating-Point Values	MOVAPD.html
MOVHPD	mem,xmmreg	WILLAMETTE,SSE2	MOVHPD mem, xmm	Move High Packed Double-Precision Floating-Point Value	MOVHPD.html
MOVHPD	xmmreg,mem	WILLAMETTE,SSE2	MOVHPD xmm, mem	Move High Packed Double-Precision Floating-Point Value	MOVHPD.html
MOVLPD	mem64,xmmreg	WILLAMETTE,SSE2	MOVLPD mem64, xmm	Move Low Packed Double-Precision Floating-Point Value	MOVLPD.html
MOVLPD	xmmreg,mem64	WILLAMETTE,SSE2	MOVLPD xmm, mem64	Move Low Packed Double-Precision Floating-Point Value	MOVLPD.html
MOVMSKPD	reg32,xmmreg	WILLAMETTE,SSE2	MOVMSKPD r32, xmm	Extract Packed Double-Precision Floating-Point Sign Mask	MOVMSKPD.html
MOVMSKPD	reg64,xmmreg	X64,SSE2	MOVMSKPD r64, xmm	Extract Packed Double-Precision Floating-Point Sign Mask	MOVMSKPD.html
MOVUPD	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVUPD xmm, xmm	Move Unaligned Packed Double-Precision Floating-Point Values	MOVUPD.html
MOVUPD	xmmreg,xmmreg	WILLAMETTE,SSE2	MOVUPD xmm, xmm	Move Unaligned Packed Double-Precision Floating-Point Values	MOVUPD.html
MOVUPD	mem,xmmreg	WILLAMETTE,SSE2,SO	MOVUPD mem, xmm	Move Unaligned Packed Double-Precision Floating-Point Values	MOVUPD.html
MOVUPD	xmmreg,mem	WILLAMETTE,SSE2,SO	MOVUPD xmm, mem	Move Unaligned Packed Double-Precision Floating-Point Values	MOVUPD.html
MULPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	MULPD xmm, xmm/m128	Multiply Packed Double-Precision Floating-Point Values	MULPD.html
MULSD	xmmreg,xmmrm	WILLAMETTE,SSE2	MULSD xmm, xmm/m128	Multiply Scalar Double-Precision Floating-Point Values	MULSD.html
ORPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	ORPD xmm, xmm/m128	Bitwise Logical OR of Double-Precision Floating-Point Values	ORPD.html
SHUFPD	xmmreg,xmmreg,imm	WILLAMETTE,SSE2	SHUFPD xmm, xmm, imm	Shuffle Packed Double-Precision Floating-Point Values	SHUFPD.html
SHUFPD	xmmreg,mem,imm	WILLAMETTE,SSE2	SHUFPD xmm, mem, imm	Shuffle Packed Double-Precision Floating-Point Values	SHUFPD.html
SQRTPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	SQRTPD xmm, xmm/m128	Compute Square Roots of Packed Double-Precision Floating-Point Values	SQRTPD.html
SQRTSD	xmmreg,xmmrm	WILLAMETTE,SSE2	SQRTSD xmm, xmm/m128	Compute Square Root of Scalar Double-Precision Floating-Point Value	SQRTSD.html
SUBPD	xmmreg,xmmrm	WILLAMETTE,SSE2,SO	SUBPD xmm, xmm/m128	Subtract Packed Double-Precision Floating-Point Values	SUBPD.html
SUBSD	xmmreg,xmmrm	WILLAMETTE,SSE2	SUBSD xmm, xmm/m128	Subtract Scalar Double-Precision Floating-Point Values	SUBSD.html
UCOMISD	xmmreg,xmmrm	WILLAMETTE,SSE2	UCOMISD xmm, xmm/m128	Unordered Compare Scalar Double-Precision Floating-Point Values and Set EFLAGS	UCOMISD.html
UNPCKHPD	xmmreg,xmmrm128	WILLAMETTE,SSE2	UNPCKHPD xmm, xmm/m128	Unpack and Interleave High Packed Double-Precision Floating-Point Values	UNPCKHPD.html
UNPCKLPD	xmmreg,xmmrm128	WILLAMETTE,SSE2	UNPCKLPD xmm, xmm/m128	Unpack and Interleave Low Packed Double-Precision Floating-Point Values	UNPCKLPD.html
XORPD	xmmreg,xmmrm128	WILLAMETTE,SSE2	XORPD xmm, xmm/m128	Bitwise Logical XOR for Double-Precision Floating-Point Values	XORPD.html
ADDSUBPD	xmmreg,xmmrm	PRESCOTT,SSE3,SO	ADDSUBPD xmm, xmm/m128	Packed Double-FP Add/Subtract. Input: {A0,A1},{B0,B1}; Output: {A0-B0},{A1+B1}	ADDSUBPD.html
ADDSUBPS	xmmreg,xmmrm	PRESCOTT,SSE3,SO	ADDSUBPS xmm, xmm/m128	Packed Single-FP Add/Subtract. Input: {A0,A1,A2,A3},{B0,B1,B2,B3}; Output: {A0-B0,A1+B1,A2-B2,A3+B3}	ADDSUBPS.html
HADDPD	xmmreg,xmmrm	PRESCOTT,SSE3,SO	HADDPD xmm, xmm/m128	Packed Double-FP Horizontal Add. Input: {A0,A1},{B0,B1}; Output: {A0+A1,B0+B1}	HADDPD.html
HADDPS	xmmreg,xmmrm	PRESCOTT,SSE3,SO	HADDPS xmm, xmm/m128	Packed Single-FP Horizontal Add. Input: {A0,A1,A2,A3},{B0,B1,B2,B3}; Output: {A0+A1,A2+A3,B0+B1,B2+B3}	HADDPS.html
HSUBPD	xmmreg,xmmrm	PRESCOTT,SSE3,SO	HSUBPD xmm, xmm/m128	Packed Double-FP Horizontal Subtract. Input: {A0,A1},{B0,B1}; Output: {A0-A1,B0-B1}	HSUBPD.html
HSUBPS	xmmreg,xmmrm	PRESCOTT,SSE3,SO	HSUBPS xmm, xmm/m128	Packed Single-FP Horizontal Subtract. Input: {A0,A1,A2,A3},{B0,B1,B2,B3}; Output: {A0-A1,A2-A3,B0-B1,B2-B3}	HSUBPS.html
LDDQU	xmmreg,mem	PRESCOTT,SSE3,SO	LDDQU xmm, mem	Load Unaligned Integer 128 Bits	LDDQU.html
MOVDDUP	xmmreg,xmmrm	PRESCOTT,SSE3	MOVDDUP xmm, xmm/m128	Move One Double-FP and Duplicate	MOVDDUP.html
MOVSHDUP	xmmreg,xmmrm	PRESCOTT,SSE3	MOVSHDUP xmm, xmm/m128	Move Packed Single-FP High and Duplicate	MOVSHDUP.html
MOVSLDUP	xmmreg,xmmrm	PRESCOTT,SSE3	MOVSLDUP xmm, xmm/m128	Move Packed Single-FP Low and Duplicate	MOVSLDUP.html
CLGI	none	VMX,AMD	CLGI 	TODO: VMX,AMD	
STGI	none	VMX,AMD	STGI 	TODO: VMX,AMD	
VMCALL	none	VMX	VMCALL 	TODO: VMX	
VMCLEAR	mem	VMX	VMCLEAR mem	TODO: VMX	
VMFUNC	none	VMX	VMFUNC 	TODO: VMX	
VMLAUNCH	none	VMX	VMLAUNCH 	TODO: VMX	
VMLOAD	none	VMX,AMD	VMLOAD 	TODO: VMX,AMD	
VMMCALL	none	VMX,AMD	VMMCALL 	TODO: VMX,AMD	
VMPTRLD	mem	VMX	VMPTRLD mem	TODO: VMX	
VMPTRST	mem	VMX	VMPTRST mem	TODO: VMX	
VMREAD	rm32,reg32	VMX,NOLONG,SD	VMREAD r/m32, r32	TODO: VMX,NOLONG,SD,X64	
VMREAD	rm64,reg64	X64,VMX	VMREAD r/m64, r64	TODO: VMX,NOLONG,SD,X64	
VMRESUME	none	VMX	VMRESUME 	TODO: VMX	
VMRUN	none	VMX,AMD	VMRUN 	TODO: VMX,AMD	
VMSAVE	none	VMX,AMD	VMSAVE 	TODO: VMX,AMD	
VMWRITE	reg32,rm32	VMX,NOLONG,SD	VMWRITE r32, r/m32	TODO: VMX,NOLONG,SD,X64	
VMWRITE	reg64,rm64	X64,VMX	VMWRITE r64, r/m64	TODO: VMX,NOLONG,SD,X64	
VMXOFF	none	VMX	VMXOFF 	TODO: VMX	
VMXON	mem	VMX	VMXON mem	TODO: VMX	
INVEPT	reg32,mem	VMX,SO,NOLONG	INVEPT r32, mem	TODO: VMX,SO,NOLONG,LONG	
INVEPT	reg64,mem	VMX,SO,LONG	INVEPT r64, mem	TODO: VMX,SO,NOLONG,LONG	
INVVPID	reg32,mem	VMX,SO,NOLONG	INVVPID r32, mem	TODO: VMX,SO,NOLONG,LONG	
INVVPID	reg64,mem	VMX,SO,LONG	INVVPID r64, mem	TODO: VMX,SO,NOLONG,LONG	
PABSB	mmxreg,mmxrm	SSSE3,MMX	PABSB mmxreg, mmx/mem	Packed Absolute Value	PABSB:PABSW:PABSD.html
PABSB	xmmreg,xmmrm	SSSE3	PABSB xmm, xmm/m128	Packed Absolute Value	PABSB:PABSW:PABSD.html
PABSW	mmxreg,mmxrm	SSSE3,MMX	PABSW mmxreg, mmx/mem	Packed Absolute Value	PABSB:PABSW:PABSD.html
PABSW	xmmreg,xmmrm	SSSE3	PABSW xmm, xmm/m128	Packed Absolute Value	PABSB:PABSW:PABSD.html
PABSD	mmxreg,mmxrm	SSSE3,MMX	PABSD mmxreg, mmx/mem	Packed Absolute Value	PABSB:PABSW:PABSD.html
PABSD	xmmreg,xmmrm	SSSE3	PABSD xmm, xmm/m128	Packed Absolute Value	PABSB:PABSW:PABSD.html
PALIGNR	mmxreg,mmxrm,imm	SSSE3,MMX	PALIGNR mmxreg, mmx/mem, imm	Packed Align Right	PALIGNR.html
PALIGNR	xmmreg,xmmrm,imm	SSSE3	PALIGNR xmm, xmm/m128, imm	Packed Align Right	PALIGNR.html
PHADDW	mmxreg,mmxrm	SSSE3,MMX	PHADDW mmxreg, mmx/mem	Packed Horizontal Add	PHADDW:PHADDD.html
PHADDW	xmmreg,xmmrm	SSSE3	PHADDW xmm, xmm/m128	Packed Horizontal Add	PHADDW:PHADDD.html
PHADDD	mmxreg,mmxrm	SSSE3,MMX	PHADDD mmxreg, mmx/mem	Packed Horizontal Add	PHADDW:PHADDD.html
PHADDD	xmmreg,xmmrm	SSSE3	PHADDD xmm, xmm/m128	Packed Horizontal Add	PHADDW:PHADDD.html
PHADDSW	mmxreg,mmxrm	SSSE3,MMX	PHADDSW mmxreg, mmx/mem	Packed Horizontal Add and Saturate	PHADDSW.html
PHADDSW	xmmreg,xmmrm	SSSE3	PHADDSW xmm, xmm/m128	Packed Horizontal Add and Saturate	PHADDSW.html
PHSUBW	mmxreg,mmxrm	SSSE3,MMX	PHSUBW mmxreg, mmx/mem	Packed Horizontal Subtract	PHSUBW:PHSUBD.html
PHSUBW	xmmreg,xmmrm	SSSE3	PHSUBW xmm, xmm/m128	Packed Horizontal Subtract	PHSUBW:PHSUBD.html
PHSUBD	mmxreg,mmxrm	SSSE3,MMX	PHSUBD mmxreg, mmx/mem	Packed Horizontal Subtract	PHSUBW:PHSUBD.html
PHSUBD	xmmreg,xmmrm	SSSE3	PHSUBD xmm, xmm/m128	Packed Horizontal Subtract	PHSUBW:PHSUBD.html
PHSUBSW	mmxreg,mmxrm	SSSE3,MMX	PHSUBSW mmxreg, mmx/mem	Packed Horizontal Subtract and Saturate	PHSUBSW.html
PHSUBSW	xmmreg,xmmrm	SSSE3	PHSUBSW xmm, xmm/m128	Packed Horizontal Subtract and Saturate	PHSUBSW.html
PMADDUBSW	mmxreg,mmxrm	SSSE3,MMX	PMADDUBSW mmxreg, mmx/mem	Multiply and Add Packed Signed and Unsigned Bytes	PMADDUBSW.html
PMADDUBSW	xmmreg,xmmrm	SSSE3	PMADDUBSW xmm, xmm/m128	Multiply and Add Packed Signed and Unsigned Bytes	PMADDUBSW.html
PMULHRSW	mmxreg,mmxrm	SSSE3,MMX	PMULHRSW mmxreg, mmx/mem	Packed Multiply High with Round and Scale	PMULHRSW.html
PMULHRSW	xmmreg,xmmrm	SSSE3	PMULHRSW xmm, xmm/m128	Packed Multiply High with Round and Scale	PMULHRSW.html
PSHUFB	mmxreg,mmxrm	SSSE3,MMX	PSHUFB mmxreg, mmx/mem	Packed Shuffle Bytes	PSHUFB.html
PSHUFB	xmmreg,xmmrm	SSSE3	PSHUFB xmm, xmm/m128	Packed Shuffle Bytes	PSHUFB.html
PSIGNB	mmxreg,mmxrm	SSSE3,MMX	PSIGNB mmxreg, mmx/mem	Packed SIGN	PSIGNB:PSIGNW:PSIGND.html
PSIGNB	xmmreg,xmmrm	SSSE3	PSIGNB xmm, xmm/m128	Packed SIGN	PSIGNB:PSIGNW:PSIGND.html
PSIGNW	mmxreg,mmxrm	SSSE3,MMX	PSIGNW mmxreg, mmx/mem	Packed SIGN	PSIGNB:PSIGNW:PSIGND.html
PSIGNW	xmmreg,xmmrm	SSSE3	PSIGNW xmm, xmm/m128	Packed SIGN	PSIGNB:PSIGNW:PSIGND.html
PSIGND	mmxreg,mmxrm	SSSE3,MMX	PSIGND mmxreg, mmx/mem	Packed SIGN	PSIGNB:PSIGNW:PSIGND.html
PSIGND	xmmreg,xmmrm	SSSE3	PSIGND xmm, xmm/m128	Packed SIGN	PSIGNB:PSIGNW:PSIGND.html
